Parameter file, Time taken, Solver nodes, Optimisation flag, Heuristic
Cube3.param,0.007149,41,-O0,
Cube4.param,0.019477,334,-O0,
Cube5.param,0.064929,2231,-O0,
Cube6.param,0.383109,19480,-O0,
Cube7.param,1.91445,99842,-O0,
Cube8.param,12.8314,571479,-O0,
Cube9.param,68.0679,2756393,-O0,
Cube3.param,0.001486,41,-O1,
Cube4.param,0.006518,334,-O1,
Cube5.param,0.018368,1685,-O1,
Cube6.param,0.123967,18290,-O1,
Cube7.param,0.576449,91490,-O1,
Cube8.param,3.74547,571479,-O1,
Cube9.param,17.9922,2721358,-O1,
Cube3.param,0.001634,41,-O2,
Cube4.param,0.004154,334,-O2,
Cube5.param,0.014428,1685,-O2,
Cube6.param,0.12099,18290,-O2,
Cube7.param,0.59102,91490,-O2,
Cube8.param,3.66499,571479,-O2,
Cube9.param,17.3433,2721358,-O2,
Cube3.param,0.001369,41,-O3,
Cube4.param,0.004841,334,-O3,
Cube5.param,0.015021,1685,-O3,
Cube6.param,0.122008,18290,-O3,
Cube7.param,0.569325,91490,-O3,
Cube8.param,3.74015,571479,-O3,
Cube9.param,17.6333,2721358,-O3,
