Parameter file, Time taken, Solver nodes, Optimisation flag, Heuristic
CubeIce3.param,0.04054,5,-O0,
CubeIce4.param,0.052377,28,-O0,
CubeIce5.param,0.088153,61,-O0,
CubeIce6.param,0.156618,121,-O0,
CubeIce7.param,0.293367,188,-O0,
CubeIce8.param,0.517415,275,-O0,
CubeIce9.param,0.95574,379,-O0,
CubeIce3.param,0.034737,4,-O1,
CubeIce4.param,0.04402,28,-O1,
CubeIce5.param,0.05828,56,-O1,
CubeIce6.param,0.074871,90,-O1,
CubeIce7.param,0.135429,130,-O1,
CubeIce8.param,0.221884,176,-O1,
CubeIce9.param,0.345807,228,-O1,
CubeIce3.param,0.037029,4,-O2,
CubeIce4.param,0.040014,28,-O2,
CubeIce5.param,0.044415,56,-O2,
CubeIce6.param,0.048934,90,-O2,
CubeIce7.param,0.075535,130,-O2,
CubeIce8.param,0.101799,176,-O2,
CubeIce9.param,0.158335,228,-O2,
CubeIce3.param,0.035332,4,-O3,
CubeIce4.param,0.049489,28,-O3,
CubeIce5.param,0.044164,56,-O3,
CubeIce6.param,0.057221,90,-O3,
CubeIce7.param,0.07685,130,-O3,
CubeIce8.param,0.101592,176,-O3,
CubeIce9.param,0.155829,228,-O3,
