Parameter file, Time taken, Solver nodes, Optimisation flag, Heuristic
Cube3.param,0.036699,26,-O0,
Cube4.param,0.048209,91,-O0,
Cube5.param,0.073289,202,-O0,
Cube6.param,0.105752,569,-O0,
Cube7.param,0.213041,1007,-O0,
Cube8.param,0.385509,1961,-O0,
Cube9.param,0.691582,3111,-O0,
Cube3.param,0.034287,26,-O1,
Cube4.param,0.037479,91,-O1,
Cube5.param,0.040116,180,-O1,
Cube6.param,0.043055,552,-O1,
Cube7.param,0.051263,971,-O1,
Cube8.param,0.063065,1961,-O1,
Cube9.param,0.080922,3091,-O1,
Cube3.param,0.034397,26,-O2,
Cube4.param,0.035583,91,-O2,
Cube5.param,0.03793,180,-O2,
Cube6.param,0.042398,552,-O2,
Cube7.param,0.045988,971,-O2,
Cube8.param,0.058425,1961,-O2,
Cube9.param,0.06942,3091,-O2,
Cube3.param,0.035515,26,-O3,
Cube4.param,0.037177,91,-O3,
Cube5.param,0.03824,180,-O3,
Cube6.param,0.04338,552,-O3,
Cube7.param,0.048467,971,-O3,
Cube8.param,0.057125,1961,-O3,
Cube9.param,0.069001,3091,-O3,
