Parameter file, Time taken, Solver nodes, Optimisation flag, Heuristic
Bombastic3_10.param,0.075997,20,-O0,
Bombastic3_5.param,0.007668,0,-O0,
Bombastic3_6.param,0.050986,10,-O0,
Bombastic3_7.param,0.051543,34,-O0,
Bombastic3_8.param,0.059108,18,-O0,
Bombastic3_9.param,0.069811,37,-O0,
Bombastic5_10.param,0.570469,19067,-O0,
Bombastic5_11.param,1.65821,61563,-O0,
Bombastic5_12.param,2.84303,89019,-O0,
Bombastic5_13.param,12.0314,417521,-O0,
Bombastic5_14.param,3.9477,115064,-O0,
Bombastic5_15.param,83.1653,2706515,-O0,
Bombastic3_10.param,0.04844,20,-O1,
Bombastic3_5.param,0.002519,0,-O1,
Bombastic3_6.param,0.038062,10,-O1,
Bombastic3_7.param,0.044234,34,-O1,
Bombastic3_8.param,0.045954,18,-O1,
Bombastic3_9.param,0.047469,37,-O1,
Bombastic5_10.param,0.057359,233,-O1,
Bombastic5_11.param,0.034659,768,-O1,
Bombastic5_12.param,0.068392,445,-O1,
Bombastic5_13.param,0.080036,2440,-O1,
Bombastic5_14.param,0.074804,485,-O1,
Bombastic5_15.param,0.186008,7661,-O1,
Bombastic3_10.param,0.041399,101,-O2,
Bombastic3_5.param,0.001041,0,-O2,
Bombastic3_6.param,0.03631,19,-O2,
Bombastic3_7.param,0.037396,42,-O2,
Bombastic3_8.param,0.037387,49,-O2,
Bombastic3_9.param,0.038541,77,-O2,
Bombastic5_10.param,0.053546,529,-O2,
Bombastic5_11.param,0.048289,1903,-O2,
Bombastic5_12.param,0.064542,975,-O2,
Bombastic5_13.param,0.270675,11286,-O2,
Bombastic5_14.param,0.081301,1579,-O2,
Bombastic5_15.param,1.57003,66257,-O2,
Bombastic3_10.param,0.038654,101,-O3,
Bombastic3_5.param,0.000842,0,-O3,
Bombastic3_6.param,0.036453,19,-O3,
Bombastic3_7.param,0.037115,42,-O3,
Bombastic3_8.param,0.037648,49,-O3,
Bombastic3_9.param,0.037396,77,-O3,
Bombastic5_10.param,0.055879,529,-O3,
Bombastic5_11.param,0.051662,1903,-O3,
Bombastic5_12.param,0.069284,975,-O3,
Bombastic5_13.param,0.268952,11286,-O3,
Bombastic5_14.param,0.082569,1579,-O3,
Bombastic5_15.param,1.56257,66257,-O3,
