Parameter file, Time taken, Solver nodes, Optimisation flag, Heuristic
Bombastic3_10.param,0.079192,101,-O0,
Bombastic3_5.param,0.008267,0,-O0,
Bombastic3_6.param,0.050973,19,-O0,
Bombastic3_7.param,0.055605,42,-O0,
Bombastic3_8.param,0.05849,49,-O0,
Bombastic3_9.param,0.066512,77,-O0,
Bombastic5_10.param,0.105171,1313,-O0,
Bombastic5_11.param,0.149265,3583,-O0,
Bombastic5_12.param,0.343532,8627,-O0,
Bombastic5_13.param,0.797182,24731,-O0,
Bombastic5_14.param,1.94539,57365,-O0,
Bombastic5_15.param,5.29543,165662,-O0,
Bombastic3_10.param,0.048034,101,-O1,
Bombastic3_5.param,0.002521,0,-O1,
Bombastic3_6.param,0.038738,19,-O1,
Bombastic3_7.param,0.042699,42,-O1,
Bombastic3_8.param,0.046341,49,-O1,
Bombastic3_9.param,0.04671,77,-O1,
Bombastic5_10.param,0.062342,615,-O1,
Bombastic5_11.param,0.048546,1611,-O1,
Bombastic5_12.param,0.123502,3617,-O1,
Bombastic5_13.param,0.220333,10278,-O1,
Bombastic5_14.param,0.469471,23315,-O1,
Bombastic5_15.param,1.29493,66518,-O1,
Bombastic3_10.param,0.038215,101,-O2,
Bombastic3_5.param,0.000338,0,-O2,
Bombastic3_6.param,0.038747,19,-O2,
Bombastic3_7.param,0.037187,42,-O2,
Bombastic3_8.param,0.037179,49,-O2,
Bombastic3_9.param,0.038735,77,-O2,
Bombastic5_10.param,0.049209,615,-O2,
Bombastic5_11.param,0.03239,1611,-O2,
Bombastic5_12.param,0.095137,3617,-O2,
Bombastic5_13.param,0.159111,10278,-O2,
Bombastic5_14.param,0.394404,23315,-O2,
Bombastic5_15.param,1.00134,66518,-O2,
Bombastic3_10.param,0.04005,101,-O3,
Bombastic3_5.param,0.000907,0,-O3,
Bombastic3_6.param,0.034515,19,-O3,
Bombastic3_7.param,0.038539,42,-O3,
Bombastic3_8.param,0.038707,49,-O3,
Bombastic3_9.param,0.039429,77,-O3,
Bombastic5_10.param,0.052823,615,-O3,
Bombastic5_11.param,0.032903,1611,-O3,
Bombastic5_12.param,0.096801,3617,-O3,
Bombastic5_13.param,0.163093,10278,-O3,
Bombastic5_14.param,0.39543,23315,-O3,
Bombastic5_15.param,0.989009,66518,-O3,
