Parameter file, Time taken, Solver nodes, Optimisation flag, Heuristic
Bombastic3_10.param,0.039247,101,,
Bombastic3_5.param,0.000882,0,,
Bombastic3_6.param,0.036299,19,,
Bombastic3_7.param,0.037785,42,,
Bombastic3_8.param,0.038331,49,,
Bombastic3_9.param,0.039158,77,,
Bombastic5_10.param,0.049676,615,,
Bombastic5_11.param,0.032749,1611,,
Bombastic5_12.param,0.094129,3617,,
Bombastic5_13.param,0.1668,10278,,
Bombastic5_14.param,0.40183,23315,,
Bombastic5_15.param,1.06075,66518,,
BombasticNoSol2_1.param,0.0003,0,,
BombasticNoSol2_2.param,0.000698,0,,
BombasticNoSol2_3.param,6.2e-05,0,,
BombasticNoSol2_9.param,0.000208,0,,
BombasticNoSol_1.param,0.000297,0,,
BombasticNoSol_10.param,0.00162,0,,
BombasticNoSol_2.param,0.000637,0,,
BombasticNoSol_3.param,0.000757,0,,
BombasticNoSol_4.param,0.00088,0,,
BombasticNoSol_5.param,0.0,0,,
BombasticNoSol_6.param,0.001078,0,,
BombasticNoSol_7.param,0.001275,0,,
BombasticNoSol_8.param,0.001392,0,,
BombasticNoSol_9.param,0.000994,0,,
