Parameter file, Time taken, Solver nodes, Optimisation flag, Heuristic
Bombastic1_1.param,0.030257,1,-O0,sdf
Bombastic2_2.param,0.00114,0,-O0,sdf
Bombastic2_3.param,0.035244,1,-O0,sdf
Bombastic3_5.param,0.006308,0,-O0,sdf
Bombastic3_6.param,0.051529,19,-O0,sdf
Bombastic4_7.param,0.026784,233,-O0,sdf
Bombastic4_8.param,0.072571,690,-O0,sdf
Bombastic5_09.param,0.137872,4328,-O0,sdf
Bombastic5_10.param,0.287592,9504,-O0,sdf
Bombastic6_11.param,5.09494,240553,-O0,sdf
Bombastic6_12.param,20.4258,915335,-O0,sdf
Bombastic7_14.param,1.18903,35778,-O0,sdf
Bombastic7_15.param,3.8323,134837,-O0,sdf
Bombastic8_15.param,3.42792,108068,-O0,sdf
Bombastic8_16.param,9.82348,315975,-O0,sdf
Bombastic9_16.param,6.15915,201778,-O0,sdf
Bombastic9_17.param,22.5923,745796,-O0,sdf
Bombastic1_1.param,0.03024,1,-O1,sdf
Bombastic2_2.param,0.000793,0,-O1,sdf
Bombastic2_3.param,0.035177,1,-O1,sdf
Bombastic3_5.param,0.002247,0,-O1,sdf
Bombastic3_6.param,0.037491,19,-O1,sdf
Bombastic4_7.param,0.004771,0,-O1,sdf
Bombastic4_8.param,0.048625,1,-O1,sdf
Bombastic5_09.param,0.018586,163,-O1,sdf
Bombastic5_10.param,0.053021,243,-O1,sdf
Bombastic6_11.param,0.052782,2092,-O1,sdf
Bombastic6_12.param,0.132289,5250,-O1,sdf
Bombastic7_14.param,0.030554,0,-O1,sdf
Bombastic7_15.param,0.074666,1,-O1,sdf
Bombastic8_15.param,0.116581,2738,-O1,sdf
Bombastic8_16.param,0.160489,3417,-O1,sdf
Bombastic9_16.param,0.194194,5470,-O1,sdf
Bombastic9_17.param,0.329839,10379,-O1,sdf
Bombastic1_1.param,0.032639,1,-O2,sdf
Bombastic2_2.param,0.000568,0,-O2,sdf
Bombastic2_3.param,0.035734,1,-O2,sdf
Bombastic3_5.param,0.0,0,-O2,sdf
Bombastic3_6.param,0.036747,19,-O2,sdf
Bombastic4_7.param,0.000178,0,-O2,sdf
Bombastic4_8.param,0.032736,1,-O2,sdf
Bombastic5_09.param,0.009704,163,-O2,sdf
Bombastic5_10.param,0.044423,243,-O2,sdf
Bombastic6_11.param,0.041993,2092,-O2,sdf
Bombastic6_12.param,0.118523,5250,-O2,sdf
Bombastic7_14.param,0.003563,0,-O2,sdf
Bombastic7_15.param,0.032091,1,-O2,sdf
Bombastic8_15.param,0.063385,2738,-O2,sdf
Bombastic8_16.param,0.122828,3417,-O2,sdf
Bombastic9_16.param,0.121622,5470,-O2,sdf
Bombastic9_17.param,0.25669,10379,-O2,sdf
Bombastic1_1.param,0.038433,1,-O3,sdf
Bombastic2_2.param,0.000544,0,-O3,sdf
Bombastic2_3.param,0.03502,1,-O3,sdf
Bombastic3_5.param,0.000882,0,-O3,sdf
Bombastic3_6.param,0.035657,19,-O3,sdf
Bombastic4_7.param,0.001378,0,-O3,sdf
Bombastic4_8.param,0.034699,1,-O3,sdf
Bombastic5_09.param,0.012087,163,-O3,sdf
Bombastic5_10.param,0.044777,243,-O3,sdf
Bombastic6_11.param,0.039833,2092,-O3,sdf
Bombastic6_12.param,0.114942,5250,-O3,sdf
Bombastic7_14.param,0.00412,0,-O3,sdf
Bombastic7_15.param,0.03311,1,-O3,sdf
Bombastic8_15.param,0.062698,2738,-O3,sdf
Bombastic8_16.param,0.116227,3417,-O3,sdf
Bombastic9_16.param,0.123158,5470,-O3,sdf
Bombastic9_17.param,0.248621,10379,-O3,sdf
Bombastic1_1.param,0.032756,1,-O0,conflict
Bombastic2_2.param,0.001782,0,-O0,conflict
Bombastic2_3.param,0.035734,1,-O0,conflict
Bombastic3_5.param,0.006469,0,-O0,conflict
Bombastic3_6.param,0.049638,19,-O0,conflict
Bombastic4_7.param,0.025376,101,-O0,conflict
Bombastic4_8.param,0.071564,344,-O0,conflict
Bombastic5_09.param,0.048517,475,-O0,conflict
Bombastic5_10.param,0.095169,743,-O0,conflict
Bombastic6_11.param,0.249078,5545,-O0,conflict
Bombastic6_12.param,0.521205,11278,-O0,conflict
Bombastic7_14.param,0.297518,1450,-O0,conflict
Bombastic7_15.param,0.453306,2755,-O0,conflict
Bombastic8_15.param,0.786157,11203,-O0,conflict
