Parameter file, Time taken, Solver nodes, Optimisation flag, Heuristic
Bombastic1_1.param,0.0323,1,-O0,none
Bombastic2_2.param,0.000729,0,-O0,none
Bombastic2_3.param,0.03173,1,-O0,none
Bombastic3_5.param,0.007838,0,-O0,none
Bombastic3_6.param,0.049999,19,-O0,none
Bombastic4_7.param,0.023081,113,-O0,none
Bombastic4_8.param,0.063305,266,-O0,none
Bombastic5_09.param,0.041617,512,-O0,none
Bombastic5_10.param,0.107376,1313,-O0,none
Bombastic6_11.param,0.368952,8257,-O0,none
Bombastic6_12.param,0.816369,16198,-O0,none
Bombastic7_14.param,0.364757,2675,-O0,none
Bombastic7_15.param,0.699842,5755,-O0,none
Bombastic8_15.param,0.975404,18960,-O0,none
Bombastic8_16.param,2.53911,49723,-O0,none
Bombastic9_16.param,1.40898,30705,-O0,none
Bombastic9_17.param,4.20833,88077,-O0,none
Bombastic1_1.param,0.029648,1,-O1,none
Bombastic2_2.param,0.000397,0,-O1,none
Bombastic2_3.param,0.035434,1,-O1,none
Bombastic3_5.param,0.003031,0,-O1,none
Bombastic3_6.param,0.035884,19,-O1,none
Bombastic4_7.param,0.005137,0,-O1,none
Bombastic4_8.param,0.049207,1,-O1,none
Bombastic5_09.param,0.021174,267,-O1,none
Bombastic5_10.param,0.061635,615,-O1,none
Bombastic6_11.param,0.16141,6786,-O1,none
Bombastic6_12.param,0.372989,13737,-O1,none
Bombastic7_14.param,0.028598,0,-O1,none
Bombastic7_15.param,0.075504,1,-O1,none
Bombastic8_15.param,0.368151,18169,-O1,none
Bombastic8_16.param,1.39126,48055,-O1,none
Bombastic9_16.param,0.55529,29331,-O1,none
Bombastic9_17.param,2.39991,85000,-O1,none
Bombastic1_1.param,0.032686,1,-O2,none
Bombastic2_2.param,0.0,0,-O2,none
Bombastic2_3.param,0.034152,1,-O2,none
Bombastic3_5.param,0.000657,0,-O2,none
Bombastic3_6.param,0.037299,19,-O2,none
Bombastic4_7.param,0.001447,0,-O2,none
Bombastic4_8.param,0.032961,1,-O2,none
Bombastic5_09.param,0.010112,267,-O2,none
Bombastic5_10.param,0.047756,615,-O2,none
Bombastic6_11.param,0.136316,6786,-O2,none
Bombastic6_12.param,0.328184,13737,-O2,none
Bombastic7_14.param,0.004035,0,-O2,none
Bombastic7_15.param,0.033449,1,-O2,none
Bombastic8_15.param,0.271076,18169,-O2,none
Bombastic8_16.param,1.10749,48055,-O2,none
Bombastic9_16.param,0.408565,29331,-O2,none
Bombastic9_17.param,1.87765,85000,-O2,none
Bombastic1_1.param,0.031481,1,-O3,none
Bombastic2_2.param,0.000538,0,-O3,none
Bombastic2_3.param,0.032398,1,-O3,none
Bombastic3_5.param,0.000918,0,-O3,none
Bombastic3_6.param,0.037399,19,-O3,none
Bombastic4_7.param,0.001447,0,-O3,none
Bombastic4_8.param,0.034167,1,-O3,none
Bombastic5_09.param,0.012389,267,-O3,none
Bombastic5_10.param,0.049438,615,-O3,none
Bombastic6_11.param,0.140888,6786,-O3,none
Bombastic6_12.param,0.34061,13737,-O3,none
Bombastic7_14.param,0.004114,0,-O3,none
Bombastic7_15.param,0.033409,1,-O3,none
Bombastic8_15.param,0.270642,18169,-O3,none
Bombastic8_16.param,1.09363,48055,-O3,none
Bombastic9_16.param,0.428152,29331,-O3,none
Bombastic9_17.param,1.91339,85000,-O3,none
