Parameter file, Time taken, Solver nodes, Optimisation flag, Heuristic
Bombastic1_1.param,0.032675,1,-O0,sdf
Bombastic2_2.param,0.002522,0,-O0,sdf
Bombastic2_3.param,0.037277,1,-O0,sdf
Bombastic3_5.param,0.00816,0,-O0,sdf
Bombastic3_6.param,0.050714,21,-O0,sdf
Bombastic4_7.param,0.032674,231,-O0,sdf
Bombastic4_8.param,0.081299,668,-O0,sdf
Bombastic5_09.param,0.0928,2184,-O0,sdf
Bombastic5_10.param,0.214438,4688,-O0,sdf
Bombastic6_11.param,0.256616,8701,-O0,sdf
Bombastic6_12.param,0.594431,20046,-O0,sdf
Bombastic7_14.param,3.59732,84423,-O0,sdf
Bombastic7_15.param,7.96517,184048,-O0,sdf
Bombastic8_15.param,22.4076,507620,-O0,sdf
Bombastic8_16.param,54.1823,1231559,-O0,sdf
Bombastic9_16.param,37.2394,845476,-O0,sdf
Bombastic9_17.param,91.5215,2057773,-O0,sdf
Bombastic1_1.param,0.033063,1,-O1,sdf
Bombastic2_2.param,0.000942,0,-O1,sdf
Bombastic2_3.param,0.03414,1,-O1,sdf
Bombastic3_5.param,0.003775,0,-O1,sdf
Bombastic3_6.param,0.038673,19,-O1,sdf
Bombastic4_7.param,0.007093,0,-O1,sdf
Bombastic4_8.param,0.053149,39,-O1,sdf
Bombastic5_09.param,0.024555,163,-O1,sdf
Bombastic5_10.param,0.06086,243,-O1,sdf
Bombastic6_11.param,0.066317,2058,-O1,sdf
Bombastic6_12.param,0.165634,5124,-O1,sdf
Bombastic7_14.param,1.8083,73517,-O1,sdf
Bombastic7_15.param,4.05392,162307,-O1,sdf
Bombastic8_15.param,12.8248,510435,-O1,sdf
Bombastic8_16.param,31.4938,1254689,-O1,sdf
Bombastic9_16.param,21.6313,851138,-O1,sdf
Bombastic9_17.param,52.6914,2096419,-O1,sdf
Bombastic1_1.param,0.035152,1,-O2,sdf
Bombastic2_2.param,0.00045,0,-O2,sdf
Bombastic2_3.param,0.032879,1,-O2,sdf
Bombastic3_5.param,0.000886,0,-O2,sdf
Bombastic3_6.param,0.034151,19,-O2,sdf
Bombastic4_7.param,0.0014,0,-O2,sdf
Bombastic4_8.param,0.03805,39,-O2,sdf
Bombastic5_09.param,0.004237,163,-O2,sdf
Bombastic5_10.param,0.040933,243,-O2,sdf
Bombastic6_11.param,0.028949,2058,-O2,sdf
Bombastic6_12.param,0.100782,5124,-O2,sdf
Bombastic7_14.param,1.00665,73517,-O2,sdf
Bombastic7_15.param,2.303,162307,-O2,sdf
Bombastic8_15.param,7.78998,509685,-O2,sdf
