Parameter file, Time taken, Solver nodes, Optimisation flag, Heuristic
Bombastic1_1.param,0.031678,1,-O0,none
Bombastic2_2.param,0.001282,0,-O0,none
Bombastic2_3.param,0.037693,1,-O0,none
Bombastic3_5.param,0.009352,0,-O0,none
Bombastic3_6.param,0.049051,21,-O0,none
Bombastic4_7.param,0.032953,113,-O0,none
Bombastic4_8.param,0.072115,266,-O0,none
Bombastic5_09.param,0.050178,512,-O0,none
Bombastic5_10.param,0.113505,1322,-O0,none
Bombastic6_11.param,0.710219,11671,-O0,none
Bombastic6_12.param,1.5253,23368,-O0,none
Bombastic7_14.param,2.0736,51492,-O0,none
Bombastic7_15.param,4.45956,98601,-O0,none
Bombastic8_15.param,12.5984,327718,-O0,none
Bombastic8_16.param,32.4964,729172,-O0,none
Bombastic9_16.param,20.3444,546476,-O0,none
Bombastic9_17.param,55.5182,1293411,-O0,none
Bombastic1_1.param,0.033562,1,-O1,none
Bombastic2_2.param,0.000291,0,-O1,none
Bombastic2_3.param,0.034309,1,-O1,none
Bombastic3_5.param,0.003636,0,-O1,none
Bombastic3_6.param,0.038307,19,-O1,none
Bombastic4_7.param,0.00481,0,-O1,none
Bombastic4_8.param,0.05089,18,-O1,none
Bombastic5_09.param,0.028049,267,-O1,none
Bombastic5_10.param,0.067582,615,-O1,none
Bombastic6_11.param,0.209066,7052,-O1,none
Bombastic6_12.param,0.463588,14036,-O1,none
Bombastic7_14.param,1.1694,44769,-O1,none
Bombastic7_15.param,2.33008,82920,-O1,none
Bombastic8_15.param,6.45286,328143,-O1,none
Bombastic8_16.param,17.0874,730259,-O1,none
Bombastic9_16.param,10.9324,547184,-O1,none
Bombastic9_17.param,29.9987,1295335,-O1,none
Bombastic1_1.param,0.034853,1,-O2,none
Bombastic2_2.param,0.000586,0,-O2,none
Bombastic2_3.param,0.033896,1,-O2,none
Bombastic3_5.param,0.0,0,-O2,none
Bombastic3_6.param,0.035963,19,-O2,none
Bombastic4_7.param,0.001029,0,-O2,none
Bombastic4_8.param,0.039098,18,-O2,none
Bombastic5_09.param,0.007464,267,-O2,none
Bombastic5_10.param,0.049198,615,-O2,none
Bombastic6_11.param,0.098623,7052,-O2,none
Bombastic6_12.param,0.230345,14036,-O2,none
Bombastic7_14.param,0.552472,44769,-O2,none
Bombastic7_15.param,1.12748,82920,-O2,none
Bombastic8_15.param,3.40042,328143,-O2,none
Bombastic8_16.param,8.90997,730259,-O2,none
Bombastic9_16.param,5.5155,547184,-O2,none
Bombastic9_17.param,16.1176,1295335,-O2,none
Bombastic1_1.param,0.034187,1,-O3,none
Bombastic2_2.param,0.000563,0,-O3,none
Bombastic2_3.param,0.032538,1,-O3,none
Bombastic3_5.param,0.000926,0,-O3,none
Bombastic3_6.param,0.035673,19,-O3,none
Bombastic4_7.param,0.000901,0,-O3,none
Bombastic4_8.param,0.038493,18,-O3,none
Bombastic5_09.param,0.008281,267,-O3,none
Bombastic5_10.param,0.047473,615,-O3,none
Bombastic6_11.param,0.099521,6622,-O3,none
Bombastic6_12.param,0.224807,12838,-O3,none
Bombastic7_14.param,0.600302,44769,-O3,none
Bombastic7_15.param,1.23294,82920,-O3,none
Bombastic8_15.param,3.74956,328143,-O3,none
Bombastic8_16.param,9.72262,730259,-O3,none
Bombastic9_16.param,6.15007,547184,-O3,none
Bombastic9_17.param,17.4007,1295335,-O3,none
